No,App Name,Database Name,Table Name Matches,Column Name Matches,Reason,Column Description,Remark
1,Maribank DBPortal,cif1,cif_client_bak,CLIENT_KEY,Added as part of BAU v2.79_0105 (CIF),Internal key customer relationships,cif
2,Maribank DBPortal,cif2,cif_client_bak,CLIENT_KEY,Added as part of BAU v2.79_0105 (CIF),Internal key customer relationships,cif
3,Maribank DBPortal,cif3,cif_client_bak,CLIENT_KEY,Added as part of BAU v2.79_0105 (CIF),Internal key customer relationships,cif
4,Maribank DBPortal,cif4,cif_client_bak,CLIENT_KEY,Added as part of BAU v2.79_0105 (CIF),Internal key customer relationships,cif
5,Maribank DBPortal,cif5,cif_client_bak,CLIENT_KEY,Added as part of BAU v2.79_0105 (CIF),Internal key customer relationships,cif
6,Maribank DBPortal,cif1,cif_client_bak,CLIENT_NO,Added as part of BAU v2.79_0105 (CIF),client number,cif
7,Maribank DBPortal,cif2,cif_client_bak,CLIENT_NO,Added as part of BAU v2.79_0105 (CIF),client number,cif
8,Maribank DBPortal,cif3,cif_client_bak,CLIENT_NO,Added as part of BAU v2.79_0105 (CIF),client number,cif
9,Maribank DBPortal,cif4,cif_client_bak,CLIENT_NO,Added as part of BAU v2.79_0105 (CIF),client number,cif
10,Maribank DBPortal,cif5,cif_client_bak,CLIENT_NO,Added as part of BAU v2.79_0105 (CIF),client number,cif
11,Maribank DBPortal,cif1,cif_client_bak,CLIENT_TYPE,Added as part of BAU v2.79_0105 (CIF),Customer Type,cif
12,Maribank DBPortal,cif2,cif_client_bak,CLIENT_TYPE,Added as part of BAU v2.79_0105 (CIF),Customer Type,cif
13,Maribank DBPortal,cif3,cif_client_bak,CLIENT_TYPE,Added as part of BAU v2.79_0105 (CIF),Customer Type,cif
14,Maribank DBPortal,cif4,cif_client_bak,CLIENT_TYPE,Added as part of BAU v2.79_0105 (CIF),Customer Type,cif
15,Maribank DBPortal,cif5,cif_client_bak,CLIENT_TYPE,Added as part of BAU v2.79_0105 (CIF),Customer Type,cif
16,Maribank DBPortal,cif1,cif_client_bak,CATEGORY_TYPE,Added as part of BAU v2.79_0105 (CIF),Customer segmentation type,cif
17,Maribank DBPortal,cif2,cif_client_bak,CATEGORY_TYPE,Added as part of BAU v2.79_0105 (CIF),Customer segmentation type,cif
18,Maribank DBPortal,cif3,cif_client_bak,CATEGORY_TYPE,Added as part of BAU v2.79_0105 (CIF),Customer segmentation type,cif
19,Maribank DBPortal,cif4,cif_client_bak,CATEGORY_TYPE,Added as part of BAU v2.79_0105 (CIF),Customer segmentation type,cif
20,Maribank DBPortal,cif5,cif_client_bak,CATEGORY_TYPE,Added as part of BAU v2.79_0105 (CIF),Customer segmentation type,cif
21,Maribank DBPortal,cif1,cif_client_bak,CLIENT_GRP,Added as part of BAU v2.79_0105 (CIF),Customer Group,cif
22,Maribank DBPortal,cif2,cif_client_bak,CLIENT_GRP,Added as part of BAU v2.79_0105 (CIF),Customer Group,cif
23,Maribank DBPortal,cif3,cif_client_bak,CLIENT_GRP,Added as part of BAU v2.79_0105 (CIF),Customer Group,cif
24,Maribank DBPortal,cif4,cif_client_bak,CLIENT_GRP,Added as part of BAU v2.79_0105 (CIF),Customer Group,cif
25,Maribank DBPortal,cif5,cif_client_bak,CLIENT_GRP,Added as part of BAU v2.79_0105 (CIF),Customer Group,cif
26,Maribank DBPortal,cif1,cif_client_bak,CLIENT_SHORT,Added as part of BAU v2.79_0105 (CIF),Customer referred,cif
27,Maribank DBPortal,cif2,cif_client_bak,CLIENT_SHORT,Added as part of BAU v2.79_0105 (CIF),Customer referred,cif
28,Maribank DBPortal,cif3,cif_client_bak,CLIENT_SHORT,Added as part of BAU v2.79_0105 (CIF),Customer referred,cif
29,Maribank DBPortal,cif4,cif_client_bak,CLIENT_SHORT,Added as part of BAU v2.79_0105 (CIF),Customer referred,cif
30,Maribank DBPortal,cif5,cif_client_bak,CLIENT_SHORT,Added as part of BAU v2.79_0105 (CIF),Customer referred,cif
31,Maribank DBPortal,cif1,cif_client_bak,CH_CLIENT_NAME,Added as part of BAU v2.79_0105 (CIF),Fang Zhongwen association name,cif
32,Maribank DBPortal,cif2,cif_client_bak,CH_CLIENT_NAME,Added as part of BAU v2.79_0105 (CIF),Fang Zhongwen association name,cif
33,Maribank DBPortal,cif3,cif_client_bak,CH_CLIENT_NAME,Added as part of BAU v2.79_0105 (CIF),Fang Zhongwen association name,cif
34,Maribank DBPortal,cif4,cif_client_bak,CH_CLIENT_NAME,Added as part of BAU v2.79_0105 (CIF),Fang Zhongwen association name,cif
35,Maribank DBPortal,cif5,cif_client_bak,CH_CLIENT_NAME,Added as part of BAU v2.79_0105 (CIF),Fang Zhongwen association name,cif
36,Maribank DBPortal,cif1,cif_client_bak,CLIENT_NAME,Added as part of BAU v2.79_0105 (CIF),client name,cif
37,Maribank DBPortal,cif2,cif_client_bak,CLIENT_NAME,Added as part of BAU v2.79_0105 (CIF),client name,cif
38,Maribank DBPortal,cif3,cif_client_bak,CLIENT_NAME,Added as part of BAU v2.79_0105 (CIF),client name,cif
39,Maribank DBPortal,cif4,cif_client_bak,CLIENT_NAME,Added as part of BAU v2.79_0105 (CIF),client name,cif
40,Maribank DBPortal,cif5,cif_client_bak,CLIENT_NAME,Added as part of BAU v2.79_0105 (CIF),client name,cif
41,Maribank DBPortal,cif1,cif_client_bak,NAME_SUFFIX,Added as part of BAU v2.79_0105 (CIF),Customer name suffix,cif
42,Maribank DBPortal,cif2,cif_client_bak,NAME_SUFFIX,Added as part of BAU v2.79_0105 (CIF),Customer name suffix,cif
43,Maribank DBPortal,cif3,cif_client_bak,NAME_SUFFIX,Added as part of BAU v2.79_0105 (CIF),Customer name suffix,cif
44,Maribank DBPortal,cif4,cif_client_bak,NAME_SUFFIX,Added as part of BAU v2.79_0105 (CIF),Customer name suffix,cif
45,Maribank DBPortal,cif5,cif_client_bak,NAME_SUFFIX,Added as part of BAU v2.79_0105 (CIF),Customer name suffix,cif
46,Maribank DBPortal,cif1,cif_client_bak,CLIENT_MNEMONIC,Added as part of BAU v2.79_0105 (CIF),Mnemonic name,cif
47,Maribank DBPortal,cif2,cif_client_bak,CLIENT_MNEMONIC,Added as part of BAU v2.79_0105 (CIF),Mnemonic name,cif
48,Maribank DBPortal,cif3,cif_client_bak,CLIENT_MNEMONIC,Added as part of BAU v2.79_0105 (CIF),Mnemonic name,cif
49,Maribank DBPortal,cif4,cif_client_bak,CLIENT_MNEMONIC,Added as part of BAU v2.79_0105 (CIF),Mnemonic name,cif
50,Maribank DBPortal,cif5,cif_client_bak,CLIENT_MNEMONIC,Added as part of BAU v2.79_0105 (CIF),Mnemonic name,cif
51,Maribank DBPortal,cif1,cif_client_bak,CLIENT_ALIAS,Added as part of BAU v2.79_0105 (CIF),Aliases,cif
52,Maribank DBPortal,cif2,cif_client_bak,CLIENT_ALIAS,Added as part of BAU v2.79_0105 (CIF),Aliases,cif
53,Maribank DBPortal,cif3,cif_client_bak,CLIENT_ALIAS,Added as part of BAU v2.79_0105 (CIF),Aliases,cif
54,Maribank DBPortal,cif4,cif_client_bak,CLIENT_ALIAS,Added as part of BAU v2.79_0105 (CIF),Aliases,cif
55,Maribank DBPortal,cif5,cif_client_bak,CLIENT_ALIAS,Added as part of BAU v2.79_0105 (CIF),Aliases,cif
56,Maribank DBPortal,cif1,cif_client_bak,ADDRESS,Added as part of BAU v2.79_0105 (CIF),address,cif
57,Maribank DBPortal,cif2,cif_client_bak,ADDRESS,Added as part of BAU v2.79_0105 (CIF),address,cif
58,Maribank DBPortal,cif3,cif_client_bak,ADDRESS,Added as part of BAU v2.79_0105 (CIF),address,cif
59,Maribank DBPortal,cif4,cif_client_bak,ADDRESS,Added as part of BAU v2.79_0105 (CIF),address,cif
